layer,position,condition,list_index,vocabulary_rank,token_id,token,log_probability,probability,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine
26,16,clean,5,5,86757,Spider,-23.500123977661133,6.223373205660465e-11,33934.7734375,0.7437072797311413,0.7893131971359253
26,16,edited,1,154,531, to,-8.971004486083984,0.0001270405191462487,33934.7734375,0.7437072797311413,0.7893131971359253
26,16,edited,2,172,858, i,-9.158504486083984,0.00010532028682064265,33934.7734375,0.7437072797311413,0.7893131971359253
26,16,edited,3,186,607, with,-9.346004486083984,8.7313586845994e-05,33934.7734375,0.7437072797311413,0.7893131971359253
27,16,clean,1,1,32261, spider,-4.4225667807040736e-05,0.9999557733535767,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,clean,2,2,40046, Spider,-10.500043869018555,2.7535241315490566e-05,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,clean,3,3,92664, spiders,-11.000043869018555,1.6700967535143718e-05,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,clean,4,4,48587,spider,-18.500043869018555,9.237044018561846e-09,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,clean,5,5,86757,Spider,-20.500043869018555,1.2500980250962357e-09,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,edited,1,121,858, i,-9.067225456237793,0.00011538623948581517,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,edited,2,149,503, s,-9.442225456237793,7.930372521514073e-05,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,edited,3,164,607, with,-9.567225456237793,6.998528988333419e-05,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,edited,4,171,176606, sya,-9.598475456237793,6.78320720908232e-05,35891.05859375,0.7111539370385596,0.7802523970603943
27,16,edited,5,184,573, for,-9.660975456237793,6.372233474394307e-05,35891.05859375,0.7111539370385596,0.7802523970603943
28,16,clean,1,1,32261, spider,-2.288792165927589e-05,0.9999771118164062,37972.734375,0.6661755850474076,0.7851371169090271
28,16,clean,2,2,40046, Spider,-11.000022888183594,1.6701318600098602e-05,37972.734375,0.6661755850474076,0.7851371169090271
28,16,clean,3,3,92664, spiders,-12.000022888183594,6.144071903690929e-06,37972.734375,0.6661755850474076,0.7851371169090271
28,16,clean,4,4,48587,spider,-17.500022888183594,2.5109416768032133e-08,37972.734375,0.6661755850474076,0.7851371169090271
28,16,clean,5,5,86757,Spider,-20.000022888183594,2.0611063966669008e-09,37972.734375,0.6661755850474076,0.7851371169090271
28,16,edited,1,170,176606, sya,-11.84615707397461,7.166041996242711e-06,37972.734375,0.6661755850474076,0.7851371169090271
28,16,edited,2,185,29473, anda,-11.97115707397461,6.324009973468492e-06,37972.734375,0.6661755850474076,0.7851371169090271
28,16,edited,3,185,121049, Honourable,-11.97115707397461,6.324009973468492e-06,37972.734375,0.6661755850474076,0.7851371169090271
29,16,clean,1,1,32261, spider,-3.838465272565372e-05,0.9999616146087646,39749.73046875,0.6742462235892763,0.780518651008606
29,16,clean,2,2,40046, Spider,-10.750038146972656,2.1444589947350323e-05,39749.73046875,0.6742462235892763,0.780518651008606
29,16,clean,3,3,92664, spiders,-11.000038146972656,1.6701063941582106e-05,39749.73046875,0.6742462235892763,0.780518651008606
29,16,clean,4,4,48587,spider,-15.500038146972656,1.8553205904936476e-07,39749.73046875,0.6742462235892763,0.780518651008606
29,16,clean,5,5,86757,Spider,-20.000038146972656,2.0610750883776063e-09,39749.73046875,0.6742462235892763,0.780518651008606
29,16,edited,1,1,17969,embre,-4.375438690185547,0.012582621537148952,39749.73046875,0.6742462235892763,0.780518651008606
29,16,edited,2,2,92634, plu,-5.250438690185547,0.005245216656476259,39749.73046875,0.6742462235892763,0.780518651008606
29,16,edited,3,4,167362, malaysia,-5.375438690185547,0.004628887865692377,39749.73046875,0.6742462235892763,0.780518651008606
29,16,edited,4,5,2854, fa,-5.437938690185547,0.004348437301814556,39749.73046875,0.6742462235892763,0.780518651008606
29,16,edited,5,6,144600, enti,-5.562938690185547,0.003837482538074255,39749.73046875,0.6742462235892763,0.780518651008606
30,16,clean,1,1,32261, spider,-0.00046659549116156995,0.9995335340499878,40185.0625,0.7413185418054291,0.7693786025047302
30,16,clean,2,2,92664, spiders,-8.000466346740723,0.00033530622022226453,40185.0625,0.7413185418054291,0.7693786025047302
30,16,clean,3,3,40046, Spider,-9.000466346740723,0.00012335226347204298,40185.0625,0.7413185418054291,0.7693786025047302
30,16,clean,4,4,48587,spider,-11.750466346740723,7.885646482463926e-06,40185.0625,0.7413185418054291,0.7693786025047302
30,16,clean,5,5,86757,Spider,-17.12546730041504,3.651775415391967e-08,40185.0625,0.7413185418054291,0.7693786025047302
30,16,edited,1,3,1115, es,-5.035383224487305,0.006503705400973558,40185.0625,0.7413185418054291,0.7693786025047302
30,16,edited,2,4,78948, legge,-5.410383224487305,0.004469926934689283,40185.0625,0.7413185418054291,0.7693786025047302
30,16,edited,3,6,1175, ent,-5.597883224487305,0.00370569946244359,40185.0625,0.7413185418054291,0.7693786025047302
30,16,edited,4,6,503, s,-5.597883224487305,0.00370569946244359,40185.0625,0.7413185418054291,0.7693786025047302
30,16,edited,5,8,13711, conform,-5.785383224487305,0.00307213282212615,40185.0625,0.7413185418054291,0.7693786025047302
31,16,clean,1,1,32261, spider,-0.00015686711412854493,0.9998431205749512,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,clean,2,2,40046, Spider,-9.50015640258789,7.484012166969478e-05,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,clean,3,3,92664, spiders,-9.50015640258789,7.484012166969478e-05,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,clean,4,4,48587,spider,-11.87515640258789,6.961216058698483e-06,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,clean,5,5,16368, insect,-16.12515640258789,9.929641464623273e-08,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,edited,1,3,78948, legge,-5.407416820526123,0.004483206197619438,41963.94140625,0.7243986529118546,0.7939497828483582
