condition,layer,list_index,vocabulary_rank,token_id,token,log_probability,probability
clean,33,3,7,44622,eight,-10.504673957824707,2.7408044843468815e-05
clean,33,4,11,80357,Eight,-11.129673957824707,1.4670469681732357e-05
clean,33,5,12,1340,of,-11.379673957824707,1.1425373486417811e-05
edited,22,1,1,149047, invertebrates,-0.945728063583374,0.388396680355072
edited,22,2,2,218685, crustaceans,-1.195728063583374,0.3024836480617523
edited,22,3,3,30348, insects,-1.695728063583374,0.1834656000137329
edited,22,4,4,133071, vertebrates,-2.695728063583374,0.06749322265386581
edited,22,5,5,226821, invertebrate,-2.945728063583374,0.05256377533078194
edited,23,1,1,149047, invertebrates,-0.3692891299724579,0.691225528717041
edited,23,2,2,226821, invertebrate,-1.8692891597747803,0.15423326194286346
edited,23,3,3,30348, insects,-1.8692891597747803,0.15423326194286346
edited,23,4,4,218685, crustaceans,-8.36928939819336,0.00023188027262222022
edited,23,5,5,133071, vertebrates,-10.36928939819336,3.1381583539769053e-05
edited,24,1,1,30348, insects,-2.884823152271565e-05,0.9999711513519287
edited,24,2,2,16368, insect,-10.500028610229492,2.7535661502042785e-05
edited,24,3,3,92664, spiders,-13.500028610229492,1.3709199038203224e-06
edited,24,4,4,149047, invertebrates,-19.500028610229492,3.398170633772679e-09
edited,24,5,5,32261, spider,-20.000028610229492,2.0610946283028397e-09
edited,25,1,1,14897, legs,-4.6132929128361866e-05,0.9999538660049438
edited,25,2,2,125242,legs,-10.500045776367188,2.7535188564797863e-05
edited,25,3,3,30348, insects,-11.000045776367188,1.6700936612323858e-05
edited,25,4,4,16368, insect,-13.500045776367188,1.370896370644914e-06
edited,25,5,5,156403, Legs,-14.500045776367188,5.043245892011328e-07
edited,26,1,1,14897, legs,-0.050046928226947784,0.9511848092079163
edited,26,2,2,16368, insect,-3.550046920776367,0.02872329205274582
edited,26,3,3,30348, insects,-4.050046920776367,0.017421556636691093
edited,26,4,4,32261, spider,-6.050046920776367,0.002357751363888383
edited,26,5,5,125242,legs,-8.550046920776367,0.00019353601965121925
edited,27,1,1,14897, legs,-0.11250601708889008,0.8935920000076294
edited,27,2,2,16368, insect,-2.6125059127807617,0.07335050404071808
edited,27,3,3,30348, insects,-4.112505912780762,0.016366709023714066
edited,27,4,4,161925, arthrop,-4.112505912780762,0.016366709023714066
edited,27,5,5,32261, spider,-9.112505912780762,0.00011027802247554064
edited,28,1,1,14897, legs,-0.018193859606981277,0.9819706678390503
edited,28,2,2,32261, spider,-4.51819372177124,0.010908709838986397
edited,28,3,3,30348, insects,-5.51819372177124,0.004013089928776026
edited,28,4,4,16368, insect,-6.76819372177124,0.001149769639596343
edited,28,5,5,161925, arthrop,-7.51819372177124,0.0005431126919575036
edited,29,1,1,14897, legs,-0.04572868347167969,0.9553011059761047
edited,29,2,2,30348, insects,-4.67072868347168,0.009365442208945751
edited,29,3,3,32261, spider,-4.67072868347168,0.009365442208945751
edited,29,4,4,161925, arthrop,-4.79572868347168,0.008264973759651184
edited,29,5,5,193663, Insects,-5.29572868347168,0.00501296017318964
edited,30,1,1,3962, six,-0.0119773019105196,0.98809415102005
edited,30,2,2,19759, Six,-5.261977195739746,0.005185042507946491
edited,30,3,3,44955,Six,-6.386977195739746,0.001683336915448308
edited,30,4,4,34699,six,-6.636977195739746,0.0013109841383993626
edited,30,5,6,14897, legs,-7.136977195739746,0.0007951520383358002
edited,31,1,1,3962, six,-0.043652988970279694,0.9572860598564148
edited,31,2,2,19759, Six,-3.5436530113220215,0.02890753373503685
edited,31,3,3,34699,six,-5.2936530113220215,0.0050233760848641396
edited,31,4,4,44955,Six,-5.9186530113220215,0.002688819542527199
edited,31,5,5,6589, eight,-6.0436530113220215,0.00237287487834692
edited,32,1,2,8732, Many,-2.834913969039917,0.0587235763669014
edited,32,2,4,193663, Insects,-2.959913969039917,0.05182337388396263
edited,32,3,5,3962, six,-3.022413969039917,0.04868355765938759
edited,32,4,8,161925, arthrop,-3.272413969039917,0.03791479021310806
edited,32,5,9,19759, Six,-3.334913969039917,0.0356176495552063
edited,33,1,3,3770,append,-2.1509833335876465,0.11636967211961746
edited,33,2,4,44955,Six,-3.1509833335876465,0.04281000792980194
edited,33,3,5,45252,Append,-3.4009833335876465,0.033340469002723694
edited,33,4,6,12575,Many,-6.9009833335876465,0.0010067949770018458
edited,33,5,6,3810,There,-6.9009833335876465,0.0010067949770018458
