condition,layer,position,prompt_token,family,variant_count,best_token_id,best_token,best_surface,best_rank,best_logit,family_log_probability,family_probability
L7_L22,22,16,spinning,spider,5,92664, spiders, spiders,1,75.5,-0.2746020257472992,0.7598744735329096
L7_L22,22,16,spinning,ant,6,63272, ants, ants,2,74.0,-1.804516315460205,0.16455402957155468
L7_L22,22,16,spinning,insect,3,30348, insects, insects,6,69.0,-6.804481029510498,0.00110879545394943
L7_L22,22,16,spinning,six,5,19759, Six, Six,103247,5.09375,-70.12102508544922,3.5222951112061807e-31
L7_L22,22,16,spinning,eight,5,80357,Eight,Eight,121289,3.28125,-72.5174331665039,3.2068521241320906e-32
L7_L22,22,16,spinning,four,5,13038, Four, Four,176791,-2.3125,-77.62036895751953,1.949405012609877e-34
L7_L22,22,16,spinning,web,6,34888, spinning, spinning,1031,36.0,-39.78321838378906,5.276765367001005e-18
L7_L22,22,21,"
",spider,5,92664, spiders, spiders,6,51.75,-5.864042282104492,0.0028397414147338235
L7_L22,22,21,"
",ant,6,63272, ants, ants,179,34.5,-23.139116287231445,8.929136875189963e-11
L7_L22,22,21,"
",insect,3,30348, insects, insects,3,55.75,-1.8881875276565552,0.15134587060142005
L7_L22,22,21,"
",six,5,34699,six,six,1232,26.125,-31.48428726196289,2.1210347091153183e-14
L7_L22,22,21,"
",eight,5,44622,eight,eight,3768,21.125,-36.01890182495117,2.2760913756994477e-16
L7_L22,22,21,"
",four,5,19025,four,four,1510,25.25,-32.381263732910156,8.649596409556434e-15
L7_L22,22,21,"
",web,6,57031,webs,webs,495,30.0,-27.356403350830078,1.3160275470573827e-12
